type,id,name,shortName,location,market,status,siteId,pronunciation,callSign,signal,fin,col,rawStreamUrl,historyJsonUrl,description,category,stationIds,locationInSite,storageLocation,make,modelNumber,serialNumber,ipAddress,url,username,installDate,notesBOM,controllerId,tpo,erp,paModuleType,powerSupplyType,filamentType,fuseType,airFilterSize,lastPaChangeDate,lastPsuChangeDate,lastFilamentChangeDate,lastFilterChangeDate,fuseStock,filterCount,exciterOutput,vin,licensePlate,useType,blowerBeltType,beltCount,batteryModel,lastBatteryChangeDate,batteryCount,lastRefuelDate,fuelLevelPercent,greaseType,greaseNeeded,quantity,servicesModel,compatibleEquipment,networks,maintenanceHistory,attachments,archivedAt
SITE,site-boi-nampa,Nampa Studio,NMP,1419 N. Franklin Blvd, Nampa, ID 83687,Treasure Valley,,,,,,,,,,,,,,networks,maintenanceHistory,,
SITE,site-boi-middleton,Middleton Site,MID,Middleton, ID,Treasure Valley,,,,,,,,,,,,,,networks,maintenanceHistory,,
SITE,site-boi-deerpoint,Deer Point Site,DP,Deer Point, ID,Treasure Valley,,,,,,,,,,,,,,networks,maintenanceHistory,,
SITE,site-boi-claypeak,Clay Peak Site,CLAY,Clay Peak, ID,Treasure Valley,,,,,,,,,,,,,,networks,maintenanceHistory,,
SITE,site-tf-jerome,Jerome Butte Site,JERB,Jerome Butte, ID,Magic Valley,,,,,,,,,,,,,,networks,maintenanceHistory,,
SITE,site-tf-picabo,Picabo Site,PIC,Picabo, ID,Magic Valley,,,,,,,,,,,,,,networks,maintenanceHistory,,
SITE,site-tf-studio,Twin Falls Studio,TWN,158 mainstream, Twin Falls, ID 83301,Magic Valley,,,,,,,,,,,,,,networks,maintenanceHistory,,
STATION,sta-kqbl,101.9 The Bull,,Treasure Valley,site-boi-deerpoint,101 point Nine The Bull,KQBL,101.9,54509,Emmett, ID,https://ice64.securenetsystems.net/KQBL,https://streamdb6web.securenetsystems.net/player_status_update/KQBL_history.txt,,,,,,,,,,,,,,,
STATION,sta-kwyd,Wild 101,,Treasure Valley,site-boi-middleton,Wild One Oh One,KWYD,101.1,7377,Parma, ID,https://ice9.securenetsystems.net/KWYD,https://streamdb6web.securenetsystems.net/player_status_update/KWYD_history.txt,,,,,,,,,,,,,,,
STATION,sta-kzmg,My 102.7,,Treasure Valley,site-boi-deerpoint,My One Oh Two point Seven,KZMG,102.7,164141,Melba, ID,https://ice9.securenetsystems.net/KZMG,https://streamdb6web.securenetsystems.net/player_status_update/KZMG_history.txt,,,,,,,,,,,,,,,
STATION,sta-ksrv,96.1 BOB FM,,Treasure Valley,site-boi-deerpoint,Ninety-Six point One Bob FM,KSRV,96.1,35638,Ontario, OR,https://ice64.securenetsystems.net/KSRV,https://streamdb6web.securenetsystems.net/player_status_update/KSRV_history.txt,,,,,,,,,,,,,,,
STATION,sta-irock-991,IRock 99.1,,Treasure Valley,site-boi-deerpoint,Eye Rock Ninety-Nine point One,K256CZ/KQBL HD2,99.1,86932,Boise, ID,https://ice64.securenetsystems.net/KQBLHD2,https://streamdb9web.securenetsystems.net/player_status_update/KQBLHD2_history.txt,,,,,,,,,,,,,,,
STATION,sta-kool-1015,KOOL 101.5,,Treasure Valley,site-boi-claypeak,Cool One Oh One point Five,K268CU/KKOO/KZMG HD-2,101.5,67613/156838,Weiser, ID/Melba, ID,https://ice5.securenetsystems.net/KKOO,https://streamdb6web.securenetsystems.net/player_status_update/KKOO_history.txt,,,,,,,,,,,,,,,
STATION,sta-fox-999,99.9 Fox Sports Boise,,Treasure Valley,site-boi-deerpoint,Ninety-Nine point Nine Fox Sports Boise,KSRV HD-2/K260CU,99.9,141145,Ontario, OR,https://ice64.securenetsystems.net/KSRVHD2,https://streamdb8web.securenetsystems.net/player_status_update/KSRVHD2_history.txt,,,,,,,,,,,,,,,
STATION,sta-alt-965,96.5 The Alternative,,Treasure Valley,site-boi-deerpoint,Ninety-Six point Five The Alternative,K243BM/KQBL HD3,96.5,121992,Boise, ID,https://ice9.securenetsystems.net/KQBLHD3,https://streamdb6web.securenetsystems.net/player_status_update/KQBLHD3_history.txt,,,,,,,,,,,,,,,
STATION,sta-kirq,Sunny 106.7,,Magic Valley,site-tf-picabo,Sunny One Oh Six point Seven,KIRQ,106.7,166021,Hailey, ID,https://ice9.securenetsystems.net/KIRQ,https://streamdb6web.securenetsystems.net/player_status_update/KIRQ_history.txt,,,,,,,,,,,,,,,
STATION,sta-kyun,102.1 The Bull,,Magic Valley,site-tf-jerome,One Oh Two point One The Bull,KYUN,102.1,164129,Twin Falls, ID,https://ice9.securenetsystems.net/KYUN,https://streamdb6web.securenetsystems.net/player_status_update/KYUN_history.txt,,,,,,,,,,,,,,,
STATION,sta-ktpz,92.7 The Music Monster,,Magic Valley,site-tf-jerome,Ninety-Two point Seven The Music Monster,KTPZ,92.7,164127,Hazelton, ID,https://ice9.securenetsystems.net/KTPZ,https://streamdb6web.securenetsystems.net/player_status_update/KTPZ_history.txt,,,,,,,,,,,,,,,
STATION,sta-kikx,104.7 BOB FM,,Magic Valley,site-tf-picabo,One Oh Four point Seven Bob FM,KIKX,104.7,28217,Ketchum, ID,https://ice9.securenetsystems.net/KIKX,https://streamdb6web.securenetsystems.net/player_status_update/KIKX_history.txt,,,,,,,,,,,,,,,
STATION,sta-irock-1051,105.1 IRock,,Magic Valley,site-tf-studio,One Oh Five point One Eye Rock,KYUN-HD2/K286CH,105.1,151707,Twin Falls, ID,https://ice9.securenetsystems.net/KYUNHD2,https://streamdb6web.securenetsystems.net/player_status_update/KYUNHD2_history.txt,,,,,,,,,,,,,,,
STATION,sta-magic-951,Magic 95.1,,Magic Valley,site-tf-studio,Magic Ninety-Five point One,KYUN-HD3/K236BS,95.1,145689,Twin Falls, ID,https://ice9.securenetsystems.net/KYUNHD3,https://streamdb6web.securenetsystems.net/player_status_update/KYUNHD3_history.txt,,,,,,,,,,,,,,,
EQUIPMENT,eq-nmp-biz-1,NMP - Network - IMG NAS Drive,,,IMG NAS Drive,,,,,,,10.18.50.1,,,,,,,
EQUIPMENT,eq-nmp-biz-2,NMP - Computer - Hoff Sever,,,Hoff Sever,,,,,,,10.18.50.2,,,,,,,
EQUIPMENT,eq-nmp-biz-3,NMP - Other - Sales Printer,,,Sales Printer,,,,,,,10.18.50.3,,,,,,,
EQUIPMENT,eq-nmp-biz-4,NMP - Computer - IMG Camera sever,,,IMG Camera sever,,,,,,,10.18.50.4,,,,,,,
EQUIPMENT,eq-nmp-biz-5,NMP - Computer - Middleton NVR,,,Middleton NVR,,,,,,,10.18.50.5,,,,,,,
EQUIPMENT,eq-nmp-biz-6,NMP - Computer - Eng Command,,,Eng Command,,,,,,,10.18.50.6,,,,,,,
EQUIPMENT,eq-nmp-biz-7,NMP - Network - WireGuard,,,WireGuard,,,,,,,10.18.50.7,,,,,,,
EQUIPMENT,eq-nmp-biz-25,NMP - Other - IRG-DC1,,,IRG-DC1,,,,,,,10.18.50.25,,,,,,,
EQUIPMENT,eq-nmp-biz-26,NMP - Other - IRG-DC2,,,IRG-DC2,,,,,,,10.18.50.26,,,,,,,
EQUIPMENT,eq-nmp-biz-30,NMP - Network - PF SENSE,,,PF SENSE,,,,,,,10.18.50.30,,,,,,,
EQUIPMENT,eq-nmp-biz-35,NMP - Other - J-LSlingHDD,,,J-LSlingHDD,,,,,,,10.18.50.35,,,,,,,
EQUIPMENT,eq-nmp-biz-40,NMP - Other - IRG-IPROFILER,,,IRG-IPROFILER,,,,,,,10.18.50.40,,,,,,,
EQUIPMENT,eq-nmp-biz-41,NMP - Computer - KZMG-Micropc-1,,,KZMG-Micropc-1,,,,,,,10.18.50.41,,,,,,,
EQUIPMENT,eq-nmp-biz-42,NMP - Computer - KZMG-Micropc-2,,,KZMG-Micropc-2,,,,,,,10.18.50.42,,,,,,,
EQUIPMENT,eq-nmp-biz-43,NMP - Computer - KZMG-INTPC,,,KZMG-INTPC,,,,,,,10.18.50.43,,,,,,,
EQUIPMENT,eq-nmp-biz-44,NMP - Computer - KSRV-VOX-PC,,,KSRV-VOX-PC,,,,,,,10.18.50.44,,,,,,,
EQUIPMENT,eq-nmp-biz-45,NMP - Network - DISPATCH (NAS),,,DISPATCH (NAS),,,,,,,10.18.50.45,,,,,,,
EQUIPMENT,eq-nmp-biz-50,NMP - Other - HP Printer Traffic,,,HP Printer Traffic,,,,,,,10.18.50.50,,,,,,,
EQUIPMENT,eq-nmp-biz-51,NMP - Other - BM HP printer,,,BM HP printer,,,,,,,10.18.50.51,,,,,,,
EQUIPMENT,eq-nmp-biz-55,NMP - Other - Studio/Programming Printer,,,Studio/Programming Printer,,,,,,,10.18.50.55,,,,,,,
EQUIPMENT,eq-nmp-biz-58,NMP - Computer - KQBL-INTPC,,,KQBL-INTPC,,,,,,,10.18.50.58,,,,,,,
EQUIPMENT,eq-nmp-biz-70,NMP - Cameras - Nampa Back Hallway,,,Nampa Back Hallway,,,,,,,10.18.50.70,,,,,,,
EQUIPMENT,eq-nmp-biz-71,NMP - Cameras - Nampa Common Area 1,,,Nampa Common Area 1,,,,,,,10.18.50.71,,,,,,,
EQUIPMENT,eq-nmp-biz-72,NMP - Cameras - Nampa Common Area 2,,,Nampa Common Area 2,,,,,,,10.18.50.72,,,,,,,
EQUIPMENT,eq-nmp-biz-73,NMP - Cameras - Nampa Common Area 3,,,Nampa Common Area 3,,,,,,,10.18.50.73,,,,,,,
EQUIPMENT,eq-nmp-biz-74,NMP - Cameras - NAMPA LOBBY,,,NAMPA LOBBY,,,,,,,10.18.50.74,,,,,,,
EQUIPMENT,eq-nmp-biz-75,NMP - Cameras - NAMPA PROMO OFFICE,,,NAMPA PROMO OFFICE,,,,,,,10.18.50.75,,,,,,,
EQUIPMENT,eq-nmp-biz-76,NMP - Cameras - NAMPA RECEPTION,,,NAMPA RECEPTION,,,,,,,10.18.50.76,,,,,,,
EQUIPMENT,eq-nmp-biz-77,NMP - Cameras - HOFF LOBBY,,,HOFF LOBBY,,,,,,,10.18.50.77,,,,,,,
EQUIPMENT,eq-nmp-biz-78,NMP - Cameras - HOFF EAST HALL,,,HOFF EAST HALL,,,,,,,10.18.50.78,,,,,,,
EQUIPMENT,eq-nmp-biz-79,NMP - Cameras - HOFF SOUTH HALL,,,HOFF SOUTH HALL,,,,,,,10.18.50.79,,,,,,,
EQUIPMENT,eq-nmp-biz-80,NMP - Cameras - HOFF NORTH HALL,,,HOFF NORTH HALL,,,,,,,10.18.50.80,,,,,,,
EQUIPMENT,eq-nmp-biz-81,NMP - Cameras - DEER PT CAM 1,,,DEER PT CAM 1,,,,,,,10.18.50.81,,,,,,,
EQUIPMENT,eq-nmp-biz-82,NMP - Cameras - DEER PT CAM 2,,,DEER PT CAM 2,,,,,,,10.18.50.82,,,,,,,
EQUIPMENT,eq-nmp-biz-83,NMP - Cameras - DEER PT CAM 3,,,DEER PT CAM 3,,,,,,,10.18.50.83,,,,,,,
EQUIPMENT,eq-nmp-biz-85,NMP - Network - Ubiquti DP Radio,,,Ubiquti DP Radio,,,,,,,10.18.50.85,,,,,,,
EQUIPMENT,eq-nmp-biz-86,NMP - Network - Ubiquti Hoff Radio,,,Ubiquti Hoff Radio,,,,,,,10.18.50.86,,,,,,,
EQUIPMENT,eq-nmp-biz-98,NMP - Network - Production Drive (IRG-ProdDrive),,,Production Drive (IRG-ProdDrive),,,,,,,10.18.50.98,,,,,,,
EQUIPMENT,eq-nmp-biz-99,NMP - Computer - IRG-SECURSERVER,,,IRG-SECURSERVER,,,,,,,10.18.50.99,,,,,,,
EQUIPMENT,eq-nmp-biz-105,NMP - Computer - KWYD-INTPC,,,KWYD-INTPC,,,,,,,10.18.50.105,,,,,,,
EQUIPMENT,eq-nmp-biz-109,NMP - Computer - IMG-SALES-MAINROOM,,,IMG-SALES-MAINROOM,,,,,,,10.18.50.109,,,,,,,
EQUIPMENT,eq-nmp-biz-110,NMP - Computer - IMG-TRAFFIC,,,IMG-TRAFFIC,,,,,,,10.18.50.110,,,,,,,
EQUIPMENT,eq-nmp-biz-111,NMP - Computer - TRAFFIC-5,,,TRAFFIC-5,,,,,,,10.18.50.111,,,,,,,
EQUIPMENT,eq-nmp-biz-117,NMP - Computer - Zabbix Docker (Linux Server),,,Zabbix Docker (Linux Server),,,,,,,10.18.50.117,,,,,,,
EQUIPMENT,eq-nmp-biz-120,NMP - Other - BRN30055C447207,,,BRN30055C447207,,,,,,,10.18.50.120,,,,,,,
EQUIPMENT,eq-nmp-biz-124,NMP - Computer - IRG_OPS_MAN_PC,,,IRG_OPS_MAN_PC,,,,,,,10.18.50.124,,,,,,,
EQUIPMENT,eq-nmp-biz-125,NMP - Computer - IMG-DMS-LAPTOP1,,,IMG-DMS-LAPTOP1,,,,,,,10.18.50.125,,,,,,,
